# ============================================================================
# Enterprise Practice: Elsamag IT Solutions
# Author & Lead Technical Consultant: Samuel Chinwendu Agu
# Target System: StreamPulse Media Platform
# Repository: sql-media-streampulse-storage-optimizer
# File Name: data/sample_streaming_catalog.csv
# Technical Objective: Production Normalized Seed Dataset & Legacy Flat Benchmark Data
# ============================================================================

# --- SECTION 1: MEDIA TITLES (Master Catalog Dimension) ---
title_id,title_name,release_year,duration_minutes,content_rating,created_at
1001,CyberPulse: Neon Frontier,2025,134,PG-13,2026-08-19 00:00:00
1002,The Quantum Paradox,2024,118,R,2026-08-19 00:00:00
1003,Echoes of the Deep Ocean,2023,92,PG,2026-08-19 00:00:00
1004,Solar Drift: Orbit 9,2026,145,PG-13,2026-08-19 00:00:00
1005,Silicon Shadows,2025,106,TV-MA,2026-08-19 00:00:00

# --- SECTION 2: MEDIA RESOLUTIONS (Lookup Dimension) ---
resolution_id,resolution_label,aspect_ratio,target_bitrate_kbps
1,4K UHD HDR,16:9,18000
2,1080p FHD,16:9,6000
3,720p HD,16:9,3000
4,480p SD,4:3,1200
5,Mobile Ultra,19.5:9,900

# --- SECTION 3: STREAMING ASSETS (Relational Fact Bridge) ---
asset_id,title_id,resolution_id,cdn_manifest_url,audio_codec,is_active
50001,1001,1,https://cdn.streampulse.io/live/titles/1001/4k_hdr/master.m3u8,Dolby Atmos,1
50002,1001,2,https://cdn.streampulse.io/live/titles/1001/1080p/master.m3u8,AAC,1
50003,1001,3,https://cdn.streampulse.io/live/titles/1001/720p/master.m3u8,AAC,1
50004,1002,1,https://cdn.streampulse.io/live/titles/1002/4k_hdr/master.m3u8,Dolby Atmos,1
50005,1002,2,https://cdn.streampulse.io/live/titles/1002/1080p/master.m3u8,E-AC-3,1
50006,1002,4,https://cdn.streampulse.io/live/titles/1002/480p/master.m3u8,AAC,1
50007,1003,1,https://cdn.streampulse.io/live/titles/1003/4k_hdr/master.m3u8,Dolby Atmos,1
50008,1003,2,https://cdn.streampulse.io/live/titles/1003/1080p/master.m3u8,AAC,1
50009,1004,2,https://cdn.streampulse.io/live/titles/1004/1080p/master.m3u8,AAC,1
50010,1004,3,https://cdn.streampulse.io/live/titles/1004/720p/master.m3u8,AAC,1
50011,1004,5,https://cdn.streampulse.io/live/titles/1004/mobile/master.m3u8,AAC-HE,1
50012,1005,1,https://cdn.streampulse.io/live/titles/1005/4k_hdr/master.m3u8,Dolby Atmos,1
50013,1005,2,https://cdn.streampulse.io/live/titles/1005/1080p/master.m3u8,AAC,1
50014,1005,3,https://cdn.streampulse.io/live/titles/1005/720p/master.m3u8,AAC,1
50015,1005,4,https://cdn.streampulse.io/live/titles/1005/480p/master.m3u8,AAC,0
